,timestamp,programme,ML,IR,stat,DB,gender,chocolate,neighbours,stand,money,random,good(1),good(2),y_birth,m_birth,d_birth,h_bed,m_bed
168,4/5/2018 11:27:59,CS,0,0,1,0,male,fat,6,0,10,2,Good sleep,Good food,1996,2,3,23,30
169,4/5/2018 11:27:59,CS,1,0,1,0,female,neither,2,0,1,7,Sunshine,Having the house quiet ehrn i wake up,1987,5,8,0,13
170,4/5/2018 11:28:00,SBI,0,0,-1,1,male,neither,2,0,0,6,Waking up not tired,Have nothing to do,1994,2,25,23,45
171,4/5/2018 11:28:00,CS,0,0,1,0,female,neither,2,0,0,7,A,B,1995,3,28,23,0
172,4/5/2018 11:28:00,CLS,0,0,1,0,male,neither,8,0,52,4,Free cheese,Good coffee,1995,1,27,-1,-1
173,4/5/2018 11:28:00,QRM,0,0,1,0,male,neither,8,0,5,6,Success,Food,-1,10,9,0,30
174,4/5/2018 11:28:01,AI,1,0,1,1,male,neither,1,0,1,10,Having slept well,Getting work done,1994,9,7,0,0
175,4/5/2018 11:28:01,CS,1,1,1,1,unknown,ignorant,8,-1,1,3,Free time,Not it being bad,-1,5,18,0,0
176,4/5/2018 11:28:02,CLS,1,1,1,1,male,neither,1,0,101,4,Pizza,Seeing you *kiss*,1996,10,25,3,20
177,4/5/2018 11:28:02,AI,1,1,1,1,male,neither,7,0,1,3,Beer,Exercise,1994,11,2,3,0
178,4/5/2018 11:28:03,BA,0,0,1,0,male,ignorant,2,0,101,2,Holiday,Food ,1995,8,15,23,15
179,4/5/2018 11:28:03,QRM,0,0,1,0,male,neither,1,0,0,9,No time series assignment,0,1996,12,9,1,30
180,4/5/2018 11:28:03,CS,0,1,1,0,male,fat,2,0,1,8,good food,new experiences,1992,11,8,0,0
181,4/5/2018 11:28:04,CS,0,0,1,-1,female,fat,1,0,4,7,Me-Time,Productivity,1991,12,23,0,0
182,4/5/2018 11:28:04,CS,1,0,1,0,female,ignorant,4,0,5,3,Not having to get up early,sushi,1993,6,13,2,0
183,4/5/2018 11:28:04,CLS,1,0,1,1,male,neither,5,0,0,9,Sunny,Food,-1,6,26,1,0
184,4/5/2018 11:28:05,AI,0,0,1,0,male,neither,3,0,3,7,No alarm in the morning,Good and sunny weather,1993,12,2,2,0
185,4/5/2018 11:28:08,CLS,0,1,1,0,male,neither,3,0,1,-1,waking up well rested,get fast asleep quickly,-1,10,4,0,0
186,4/5/2018 11:28:08,PhD student,0,0,1,0,male,neither,2,0,0,7,Nice food,Good sleep,1995,1,3,23,30
187,4/5/2018 11:28:09,AI,0,-1,1,-1,female,neither,0,0,1,3,Food,Not having Anything to do,1996,8,25,0,0
188,4/5/2018 11:28:09,BA,1,0,1,0,male,fat,3,0,5,4,Sleep,Sports,1992,7,7,1,30
189,4/5/2018 11:28:10,CS,0,1,1,1,male,ignorant,6,0,-1,9,Cloudy skies  ,Memes ,1995,2,4,0,0
190,4/5/2018 11:28:11,CLS,1,0,1,0,male,neither,3,0,1,10,afternoon lectures,weekend,-1,11,17,1,0
191,4/5/2018 11:28:12,BA,1,0,1,0,male,fat,3,1,200,1,Food,No college,1994,1,9,0,0
192,4/5/2018 11:28:14,BA,1,1,1,1,female,fat,5,0,30,9,Getting a good grade,Sleep well,1995,2,23,23,30
193,4/5/2018 11:28:15,CS,0,0,1,-1,male,fat,1,0,0,2,nice weather,fun time,1993,2,9,0,30
194,4/5/2018 11:28:15,CLS,1,0,1,0,male,ignorant,4,1,0,-1,No lecture at 9,No lectures,1993,7,6,23,15
